structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Superior central nucleus raphe,3,0,3,0.323984375,0.34815625,0.672140625,9.259705811,0
"Subparafascicular nucleus, magnocellular part",0,2,2,0.025640625,0.0251875,0.050828125,0,79.4044665
Perireunensis nucleus,0,2,2,0.061359375,0.062921875,0.12428125,0,31.78544822
Rostral linear nucleus raphe,0,2,2,0.015953125,0.032359375,0.0483125,0,61.80589087
genu of the facial nerve,0,2,2,0.0221875,0.02025,0.0424375,0,98.7654321
Nucleus raphe pontis,0,2,2,0.0715625,0.083046875,0.154609375,0,24.08278457
Parafascicular nucleus,2,0,2,0.20328125,0.207859375,0.411140625,9.838585703,0
"Anterior cingulate area, dorsal part, layer 5",2,0,2,0.532890625,0.53428125,1.067171875,3.753115379,0
Subparaventricular zone,2,0,2,0.04325,0.042359375,0.085609375,46.24277457,0
Ventral medial nucleus of the thalamus,2,0,2,0.38184375,0.379625,0.76146875,5.237744496,0
"Paragigantocellular reticular nucleus, lateral part",1,0,1,0.363890625,0.3450625,0.708953125,2.748078492,0
Locus ceruleus,1,0,1,0.008234375,0.007890625,0.016125,121.4421252,0
"Periventricular hypothalamic nucleus, preoptic part",0,1,1,0.04746875,0.06225,0.10971875,0,16.06425703
lateral lemniscus,0,1,1,0.33590625,0.32425,0.66015625,0,3.084040093
"Primary somatosensory area, lower limb, layer 4",0,1,1,0.100265625,0.096484375,0.19675,0,10.36437247
"Tuberomammillary nucleus, ventral part",0,0,0,0.036953125,0.035828125,0.07278125,0,0
"Primary somatosensory area, mouth, layer 6b",0,0,0,0.0509375,0.04915625,0.10009375,0,0
internal capsule,0,0,0,0.99084375,0.90290625,1.89375,0,0
Principal sensory nucleus of the trigeminal,0,0,0,0.3695625,0.335375,0.7049375,0,0
"Superior colliculus, motor related, intermediate gray layer",0,0,0,0.881203125,0.939484375,1.8206875,0,0
Interfascicular nucleus raphe,0,0,0,0.03153125,0.037828125,0.069359375,0,0
Parataenial nucleus,0,0,0,0.102359375,0.109234375,0.21159375,0,0
"Superior colliculus, motor related, intermediate white layer",0,0,0,0.959203125,1.00659375,1.965796875,0,0
Induseum griseum,0,0,0,0.048390625,0.06465625,0.113046875,0,0
"Entorhinal area, lateral part, layer 2",0,0,0,0.55071875,0.512859375,1.063578125,0,0
Anterior amygdalar area,0,0,0,0.18146875,0.2164375,0.39790625,0,0
"Superior colliculus, motor related, deep gray layer",0,0,0,0.58546875,0.599421875,1.184890625,0,0
Intergeniculate leaflet of the lateral geniculate complex,0,0,0,0.034734375,0.03253125,0.067265625,0,0
"Entorhinal area, lateral part, layer 6a",0,0,0,0.337046875,0.312265625,0.6493125,0,0
"Periventricular hypothalamic nucleus, anterior part",0,0,0,0.019375,0.02003125,0.03940625,0,0
"Primary visual area, layer 6a",0,0,0,0.3681875,0.381890625,0.750078125,0,0
Oculomotor nucleus,0,0,0,0.018828125,0.018671875,0.0375,0,0
"Gustatory areas, layer 1",0,0,0,0.083921875,0.081484375,0.16540625,0,0
"posteromedial visual area, layer 2/3",0,0,0,0.090640625,0.1019375,0.192578125,0,0
"Superior colliculus, motor related, deep white layer",0,0,0,0.16759375,0.17321875,0.3408125,0,0
Precommissural nucleus,0,0,0,0.07184375,0.0735,0.14534375,0,0
